Canonical_PostEra_ID,suspected_SMILES,IC50_(µM),IC50_CI_(Lower)_(µM),IC50_CI_(Upper)_(µM),Hill_slope,Curve_class,Semiquant
DAN-MCD-1c3944e2-1,Cc1ccc(S(=O)(=O)N2CCN(C(=O)CCl)C[C@H]2C(=O)NCc2ccccc2)cc1,3.65,2.89,4.62,1.43,1.1,Quant
DAN-MCD-34fd4f29-1,Cc1ccc(S(=O)(=O)N2CCN(C(=O)CCl)C[C@H]2C(=O)NCCc2ccccc2)cc1,11.8,9.17,15.3,1.89,1.1,Quant
DAN-MCD-3bfdcef2-1,Cc1cccc(C)c1NC(=O)[C@@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,1.64,1.30,2.06,1.36,1.1,Quant
DAN-MCD-3ec20f87-1,O=C(CCl)N1CCN(S(=O)(=O)c2ccsc2)[C@H](C(=O)N2CCOCC2)C1,2.88,2.48,3.35,1.98,1.1,Quant
DAN-MCD-50d01569-1,O=C(Nc1ccc2ccccc2c1)[C@@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,0.523,0.475,0.575,1.56,1.1,Quant
DAN-MCD-52f1549c-1,O=C(NCc1ccccn1)[C@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,0.307,0.285,0.331,1.37,1.1,Quant
DAN-MCD-68a9aade-1,"ClCC(=O)N1CCN([C@@H](C1)C(=O)NC1=CC=CC=C1)S(=O)(=O)C1=CSC=C1 |c:16,18,27,t:14,24|",0.716,0.661,0.776,1.59,1.1,Quant
DAN-MCD-7eba3d41-1,O=C(NC1CCCCC1)[C@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,1.14,1.02,1.28,1.49,1.1,Quant
DAN-MCD-881986d8-1,Cc1ccc(S(=O)(=O)N2CCN(C(=O)CCl)C[C@H]2C(=O)NC2CCCCC2)cc1,4.48,3.46,5.81,1.95,1.1,Quant
DAN-MCD-8aee1169-1,O=C(NCc1ccccn1)[C@@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,0.542,0.520,0.565,1.55,1.1,Quant
DAN-MCD-93e7aadc-1,O=C(NCC1CCCCC1)[C@@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,1.10,0.966,1.25,1.7,1.1,Quant
DAN-MCD-9950a804-1,O=C(NCCc1ccccc1)[C@@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,1.28,1.15,1.42,1.39,1.1,Quant
