suspected_SMILES,Canonical_PostEra_ID,IC50_(µM),IC50_CI_(Lower)_(µM),IC50_CI_(Upper)_(µM),Hill_slope,Curve_class
CC1(NC(=O)CN2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,MAT-POS-69786b79-3,0.271,0.256,0.286,1.03,1.1
"COCOC1=CC=C(C=C1)N(C(C(=O)NCCC1=CC=CC(F)=C1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:6,8,20,23,28,30,38,t:4,18,26,35|",ALP-UNI-fe744232-30,13.2,11.6,15.1,1.11,1.1
"CC(C)OC1=CC=C(C=C1)N(C(C(=O)NCCC1=CC=NS1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:6,8,20,26,28,36,t:4,18,24,33|",ALP-UNI-fe744232-29,0.933,0.833,1.05,0.971,1.1
"CNC(=O)C1=CC=C(CCNC(=O)C(N(C(=O)C2=COC=N2)C2=CC=C(OC(C)C)C=C2)C2=CC=CN=C2)C=C1 |c:20,31,36,38,41,t:4,6,17,23,25,34|",ALP-UNI-fe744232-28,6.71,5.96,7.56,1.02,1.1
"CC(C)OC1=CC=C(C=C1)N(C(C(=O)NCCC1=CC=C(O)C=N1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:6,8,23,28,30,38,t:4,18,20,26,35|",ALP-UNI-fe744232-27,4.29,4.01,4.59,1.05,1.1
"CC(C)OC1=CC=C(C=C1)N(C(C(=O)NCCC1=CC=C(C=C1)N1C=NN=C1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:6,8,20,22,26,28,33,35,43,t:4,18,31,40|",ALP-UNI-fe744232-26,8.64,7.18,10.4,0.952,1.1
"CC(C)OC1=CC=C(C=C1)N(C(C(=O)NCCC1=NOC=C1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:6,8,21,26,28,36,t:4,18,24,33|",ALP-UNI-fe744232-24,6.71,5.03,8.96,0.88,1.1
"COC1=CC(CCNC(=O)C(N(C(=O)C2=COC=N2)C2=CC=C(OC(C)C)C=C2)C2=CC=CN=C2)=CC=N1 |c:17,28,33,35,37,39,t:2,14,20,22,31|",ALP-UNI-fe744232-23,2.57,2.38,2.78,1.05,1.1
"OC1(COC1)C1=CC=C(C=C1)N(C(C(=O)NCCC1=CC=CC(F)=C1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:8,10,22,25,30,32,40,t:6,20,28,37|",ALP-UNI-fe744232-22,> 99.5,,,1.23,2.1
"COC1=CC=C(CCNC(=O)C(N(C(=O)C2=COC=N2)C2=CC=C(OC(C)C)C=C2)C2=CC=CN=C2)C=N1 |c:18,29,34,36,39,t:2,4,15,21,23,32|",ALP-UNI-fe744232-21,1.93,1.58,2.35,0.865,1.1
"CC(C)OC1=CC=C(C=C1)N(C(C(=O)NCCC1=CC=NO1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:6,8,20,26,28,36,t:4,18,24,33|",ALP-UNI-fe744232-20,5.16,4.82,5.54,0.944,1.1
"OCCCNC(=O)C1=CC=C(C=C1)N(C(C(=O)NCCC1=CC=CC(F)=C1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:9,11,23,26,31,33,41,t:7,21,29,38|",ALP-UNI-fe744232-19,> 99.5,,,,
